"parm","age","default","lwr","upr"
"frac.ini.inf0",NA,0.001,5e-04,0.002
"seed0",NA,1e-06,5e-07,2e-06
"Tei",NA,3,2,4
"Tir",NA,5,3,4
"tx.sn.amp",NA,0.25,0,0.5
"vx.sn.amp",NA,0.25,0,0.5
"VE",NA,0.9,0.8,1
"adj.ctc.redn.mask",NA,0.75,0.5,1
"adj.ctc.redn.nomask",NA,1,1,1
"p.ve.v.i",NA,0.7,0.5,0.9
"p.inf2ve",NA,1.25,0.7,1.5
"p.ve.v.dis",NA,1.5,1,2
"p.inf.v.dis",NA,1.25,1,1.5
"severity.by.age",0,5e-04,0.00025,0.00075
"severity.by.age",1,5e-04,0.00025,0.00075
"severity.by.age",2,5e-04,0.00025,0.00075
"severity.by.age",3,5e-04,0.00025,0.00075
"severity.by.age",4,5e-04,0.00025,0.00075
"severity.by.age",5,5e-04,0.00025,0.00075
"severity.by.age",6,5e-04,0.00025,0.00075
"severity.by.age",7,5e-04,0.00025,0.00075
"severity.by.age",8,5e-04,0.00025,0.00075
"severity.by.age",9,5e-04,0.00025,0.00075
"severity.by.age",10,5e-04,0.00025,0.00075
"severity.by.age",11,5e-04,0.00025,0.00075
"severity.by.age",12,5e-04,0.00025,0.00075
"severity.by.age",13,5e-04,0.00025,0.00075
"severity.by.age",14,5e-04,0.00025,0.00075
"severity.by.age",15,5e-04,0.00025,0.00075
"severity.by.age",16,5e-04,0.00025,0.00075
"severity.by.age",17,5e-04,0.00025,0.00075
"severity.by.age",18,5e-04,0.00025,0.00075
"severity.by.age",19,5e-04,0.00025,0.00075
"severity.by.age",20,0.00247875217666636,0.00123937608833318,0.00371812826499954
"severity.by.age",21,0.00267180768519945,0.00133590384259973,0.00400771152779918
"severity.by.age",22,0.00287989915808824,0.00143994957904412,0.00431984873713236
"severity.by.age",23,0.00310419765864931,0.00155209882932465,0.00465629648797396
"severity.by.age",24,0.00334596545747127,0.00167298272873564,0.00501894818620691
"severity.by.age",25,0.00360656313601573,0.00180328156800787,0.0054098447040236
"severity.by.age",26,0.00388745724347613,0.00194372862173807,0.0058311858652142
"severity.by.age",27,0.00419022854998458,0.00209511427499229,0.00628534282497687
"severity.by.age",28,0.00451658094261267,0.00225829047130633,0.006774871413919
"severity.by.age",29,0.00486835101422976,0.00243417550711488,0.00730252652134464
"severity.by.age",30,0.00524751839918138,0.00262375919959069,0.00787127759877208
"severity.by.age",31,0.0056562169139531,0.00282810845697655,0.00848432537092966
"severity.by.age",32,0.00609674656551564,0.00304837328275782,0.00914511984827346
"severity.by.age",33,0.00657158649492961,0.00328579324746481,0.00985737974239442
"severity.by.age",34,0.00708340892905212,0.00354170446452606,0.0106251133935782
"severity.by.age",35,0.00763509421885996,0.00381754710942998,0.0114526413282899
"severity.by.age",36,0.00822974704902002,0.00411487352451001,0.01234462057353
"severity.by.age",37,0.00887071390992826,0.00443535695496413,0.0133060708648924
"severity.by.age",38,0.0095616019305435,0.00478080096527175,0.0143424028958153
"severity.by.age",39,0.0103062991780007,0.00515314958900037,0.0154594487670011
"severity.by.age",40,0.0111089965382423,0.00555449826912115,0.0166634948073635
"severity.by.age",41,0.0119742113008036,0.00598710565040181,0.0179613169512054
"severity.by.age",42,0.0129068125804799,0.00645340629023994,0.0193602188707198
"severity.by.age",43,0.0139120487189376,0.00695602435946881,0.0208680730784064
"severity.by.age",44,0.0149955768204777,0.00749778841023885,0.0224933652307166
"severity.by.age",45,0.0161634945881659,0.00808174729408294,0.0242452418822488
"severity.by.age",46,0.0174223746394935,0.00871118731974675,0.0261335619592402
"severity.by.age",47,0.0187793014946844,0.0093896507473422,0.0281689522420266
"severity.by.age",48,0.0202419114458044,0.0101209557229022,0.0303628671687066
"severity.by.age",49,0.0218184355310428,0.0109092177655214,0.0327276532965641
"severity.by.age",50,0.0235177458560091,0.0117588729280046,0.0352766187840137
"severity.by.age",51,0.0253494055227249,0.0126747027613625,0.0380241082840874
"severity.by.age",52,0.0273237224472926,0.0136618612236463,0.0409855836709388
"severity.by.age",53,0.0294518073691073,0.0147259036845536,0.0441777110536609
"severity.by.age",54,0.0317456363780679,0.015872818189034,0.0476184545671019
"severity.by.age",55,0.034218118311666,0.017109059155833,0.051327177467499
